sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
54343,163,195101,1923,5842,1193,505882,5842
54344,162,226631,1694,6122,1115,505710,6122
54345,163,232558,1687,5515,1196,506124,5515
54346,163,199001,2002,5678,1042,505942,5678
54347,162,182429,1979,5602,1161,505825,5602
54348,163,219175,1727,5513,1142,505699,5513
54349,163,212248,1760,5801,1213,506050,5801
54350,162,213849,1859,5510,1205,505782,5510
54351,163,197081,2086,6216,1036,505754,6216
54352,162,232239,1742,5128,1212,505906,5128
54353,163,199421,1979,6087,1068,506164,6087
54354,163,197164,1980,6256,1012,505619,6256
54355,162,195483,2047,6020,1055,505621,6020
54356,163,192169,2022,5628,1234,506095,5628
54357,163,217584,1853,4968,1236,506062,4968
